respondent's year of birth,respondent's current age,age in 5-year groups,region,type of place of residence,source of drinking water,type of toilet facility,household has: electricity,household has: radio,household has: television,household has: bicycle,household has: motorcycle/scooter,household has: car/truck,main floor material,main wall material,main roof material,number of household members (listed),number of children 5 and under in household (de jure),educational attainment,relationship to household head,sex of household head,age of household head,literacy,type of cooking fuel,owns a mobile telephone,last 12 months use mobile telephone for financial transactions,is respondent's mobile phone a smart phone,has an account in a bank or other financial institution,use of internet,frequency of using internet last month,self reported health status,wealth index combined,years lived in place of residence,educational attainment head,frequency of listening to radio,frequency of watching television,age at first sex,husband/partner's occupation (grouped),respondent currently working,respondent's occupation (grouped),husband/partner's educational attainment,husband/partner's age,respondent worked in last 12 months,currently working,occupation (grouped),use mobile telephone for financial transactions,respondent education,how much paid in last month.1,income_group
1981.0,40.0,5,27,1,1,4,2,2,2,0,0,0,0,14,5,9.0,2.0,3,6,1,43.0,1,3,1,1,0,1,0,3,2,3,49,1,2,0,20.0,5,1,9,1,43.0,0,1,7,1,3,10000.0,1
1980.0,41.0,5,27,1,12,4,2,2,2,0,0,2,2,4,5,6.0,1.0,2,6,1,42.0,1,3,1,1,1,0,2,0,2,4,7,2,0,0,22.0,7,1,7,2,42.0,0,1,7,1,1,41000.0,4
1988.0,34.0,3,27,1,3,13,2,2,2,0,2,0,1,5,5,9.0,3.0,1,6,1,31.0,1,6,1,1,1,1,2,0,1,4,49,1,2,1,15.0,10,1,8,1,32.0,0,1,10,1,4,15000.0,1
2001.0,20.0,1,27,1,3,3,2,2,0,0,0,0,0,1,5,2.0,0.0,4,6,1,25.0,1,3,1,1,0,0,0,3,2,3,1,4,0,1,15.0,10,0,6,4,24.0,3,1,10,1,6,9000.0,0
1976.0,46.0,6,27,1,12,4,2,2,2,0,0,0,1,4,5,3.0,0.0,4,6,1,45.0,1,3,1,1,0,0,0,3,2,3,17,0,0,0,20.0,10,1,11,0,46.0,0,1,10,1,4,20000.0,2
1980.0,42.0,5,27,1,12,11,2,2,2,0,0,0,2,4,5,5.0,1.0,0,6,1,40.0,1,3,1,1,1,0,2,1,2,3,19,3,0,0,27.5,7,1,7,0,45.0,0,1,7,1,3,10000.0,1
1998.0,23.0,1,27,1,3,2,2,2,0,0,0,0,2,4,5,4.0,1.0,1,6,1,25.0,1,3,0,0,0,0,0,3,1,3,49,2,0,0,20.0,5,0,6,1,25.0,3,1,10,0,4,9000.0,0
1998.0,24.0,1,27,1,3,3,2,2,2,0,0,0,1,1,5,2.0,0.0,0,6,1,24.0,1,5,1,1,0,0,0,3,1,3,43,0,0,0,14.0,10,1,9,1,26.0,0,1,10,1,3,18000.0,1
1998.0,24.0,1,27,1,3,4,2,2,2,2,2,0,0,1,2,5.0,0.0,3,6,1,34.0,3,6,1,0,0,0,0,3,1,4,45,4,0,1,17.0,11,1,5,4,28.0,0,1,7,0,3,8000.0,0
1986.0,35.0,4,27,1,3,11,2,0,0,0,0,0,1,4,5,2.0,0.0,3,6,1,36.0,1,3,1,0,0,0,0,3,1,3,49,1,0,0,17.0,10,1,5,1,36.0,0,1,10,0,3,12000.0,1
2001.0,20.0,1,27,1,3,11,2,0,0,0,0,0,0,1,2,2.0,0.0,0,6,1,20.0,1,5,1,1,1,0,2,0,0,3,34,0,0,0,11.0,7,1,7,0,19.0,0,1,7,1,3,24000.0,2
2000.0,21.0,1,27,1,3,11,2,0,2,0,0,0,0,4,5,2.0,0.0,0,6,1,28.0,1,6,1,1,1,0,2,0,1,3,45,3,0,0,18.0,10,1,5,3,28.0,0,1,11,1,3,9000.0,0
1986.0,36.0,4,27,1,12,13,2,2,2,0,0,0,1,4,5,6.0,2.0,0,6,1,40.0,1,3,1,1,0,0,2,2,1,3,7,1,0,0,25.0,7,0,6,1,40.0,3,1,10,1,3,41000.0,4
1997.0,24.0,1,27,1,1,2,2,2,2,0,0,0,2,14,5,7.0,1.0,4,6,1,31.0,1,3,1,1,0,0,0,3,1,4,47,0,1,0,15.0,10,1,7,0,31.0,0,1,10,1,4,20000.0,2
1992.0,29.0,2,27,1,9,4,2,0,0,0,0,0,2,4,5,6.0,2.0,3,6,1,37.0,1,3,0,0,0,0,0,3,1,0,6,3,0,0,15.0,11,1,11,3,37.0,0,1,11,0,3,6000.0,0
1986.0,36.0,4,27,1,12,13,2,2,2,0,0,0,1,14,5,3.0,0.0,0,6,1,32.0,0,3,1,1,1,1,2,0,4,3,2,2,0,0,15.0,7,0,6,2,32.0,3,1,1,1,3,15000.0,1
1993.0,29.0,2,27,1,5,4,2,2,2,0,0,2,2,14,5,5.0,1.0,0,6,1,32.0,1,6,1,1,1,0,2,0,1,4,5,2,2,0,22.0,7,0,6,1,32.0,3,1,8,1,3,41000.0,4
